Title,Release_Year
Explorers,1985
The Serial,1980
Maid to Order,1987
The Black Stallion Returns,1983
Hanky Panky,1982
3 Strikes,2000
Dudley Do-Right,1999
Jade,1995
The Express,2008
The Swan Princess,1994
The Hidden,1987
Immortal Beloved,1994
Blue Valentine,2010
Rendition,2007
Everyone Says I Love You,1996
Cloak & Dagger,1984
Somewhere in Time,1980
Conquest of the Planet of the Apes,1972
SpaceCamp,1986
The Butcher's Wife,1991
"He Said, She Said",1991
Simone,2002
Shall We Dance?,1997
The Perfect Match,2016
I Don't Know How She Does It,2011
Miami Blues,1990
Duplex,2003
Wrongfully Accused,1998
Belly,1998
Without a Trace,1983
Digimon: The Movie,2000
On the Waterfront,1954
Pepe,1960
The Dark Half,1993
The Baby-Sitters Club,1995
Scenes from a Mall,1991
Breakfast at Tiffany's,1961
Fair*Game,2010
Death Sentence,2007
From the Hip,1987
Smart People,2008
The Wild Life,1984
Popstar: Never Stop Never Stopping,2016
Bullet to the Head,2013
Flesh and Bone,1993
She's the One,1996
The Journey of Natty Gann,1985
Hercules,1983
Sleeping Beauty,1959
Amos & Andrew,1993
Away We Go,2009
Once,2007
Guilty by Suspicion,1991
Criminal Law,1989
Viva Las Vegas,1964
The Visitor,2008
Rock Dog,2017
Dunston Checks In,1996
Fun Size ,2012
Sleepover,2004
The Brink's Job,1978
Black Snake Moan,2007
Tuff Turf,1985
Dragonball Evolution,2009
"Grande Seduction, La",2003
Hellraiser IV: Bloodline,1996
We're Back! A Dinosaur's Story,1993
Bobby Deerfield,1977
Chaplin,1992
Stone Cold,1991
Lost in Yonkers,1993
Hable con ella,2002
Jerry Springer: Ringmaster,1998
Fierce Creatures,1997
Angie,1994
Hardcore Henry,2016
Lolita,1962
Celtic Pride,1996
Dark Blue,2003
Bon Voyage!,1962
The Interns,1962
A Serious Man,2009
Mrs. Brown,1997
Everybody's Fine,2009
Return of the Living Dead Part II,1988
Bernie,2012
Havana,1990
Bad Boys,1983
Dirt,1979
The Four Horsemen of the Apocalypse,1921
The Lobster,2016
You Can Count on Me,2000
Peeples,2013
Get Low,2010
A Mighty Heart,2007
A Single Man,2009
Boom Town,1940
What's Eating Gilbert Grape,1993
Becket,1964
Dr. Strangelove,1964
Street Fighter: The Legend of Chun-Li,2009
Dead Ringers,1988
The Valley of Decision,1945
Send Me No Flowers,1964
Tap,1989
Super Babies: Baby Geniuses 2,2004
Fantasia 2000 (Theatrical Release),2000
Sweet Dreams,1985
Meet the Blacks,2016
Flickan som lekte med elden,2009
Un gallo con muchos huevos,2015
A Midsummer Night's Sex Comedy,1982
Le Divorce,2003
Good Neighbor Sam,1964
First Daughter,2004
Ulee's Gold,1997
The Boy in the Striped Pajamas,2008
Salmon Fishing in the Yemen,2012
Target,1985
Trippin',1999
The Ice Harvest,2005
Transamerica,2006
Renegades,1989
Red River,1948
White Sands,1992
Bad Dreams,1988
Ben-Hur,1925
Beyond the Valley of the Dolls,1970
Bolero,1984
Cat's Eye,1985
The Conqueror,1956
Desiree,1954
Doctor Dolittle,1967
The Inn of the Sixth Hapiness,1958
Love Me Tender,1956
Mr. Smith Goes To Washington,1939
Prince of the City,1981
Saturn 3,1980
Switching Channels,1988
Tom Horn,1980
A Tree Grows in Brooklyn,1945
Tribute,1980
Vera Cruz,1954
Wizards,1977
Zorba the Greek,1964
Deadly Friend,1986
Aliens of the Deep,2005
Teaching Mrs. Tingle,1999
Matinee,1993
In the Mouth of Madness,1995
Brainstorm,1983
Wonderful World of the Brothers Grimm,1962
The Formula,1980
"Mystery, Alaska",1999
DeathStalker,1983
Battle of the Year,2013
Saved!,2004
Queen of Katwe,2016
The Inkwell,1994
Apt Pupil,1998
Hard To Hold,1984
Movie 43,2013
Warlock,1991
Gotcha,1985
The Deep End,2001
The River,1984
Ratchet and Clank,2016
Body Double,1984
Battle for the Planet of the Apes,1973
The Hucksters,1947
Scandal,1989
The Seeker: The Dark is Rising,2007
Oxford Blues,1984
White Fang 2: Myth of the White Wolf,1994
The Next Karate Kid,1994
The Bachelor and the Bobby-Soxer,1947
Mad Max,1980
The Pride and the Passion,1957
To Catch a Thief,1955
True Believer,1989
Whatever it Takes,2000
Village of the Damned,1995
Suspect Zero,2004
Mischief,1985
If You Could See What I Hear,1982
Clean and Sober,1988
Once Upon a Crime…,1992
My Life in Ruins,2009
The Man With One Red Shoe,1985
Before and After,1996
Late for Dinner,1991
That Was Then… This is Now,1985
Secret Admirer,1985
Manhunter,1986
The Bounty,1984
The Year of Living Dangerously,1983
U2: Rattle and Hum,1988
Pollock,2000
Boat Trip,2003
Death at a Funeral,2007
The Puppet Masters,1994
High Spirits,1988
The Lost City of Z,2017
All Dogs Go To Heaven 2,1996
Blue Velvet,1986
Care Bears Movie II: A New Generation,1986
The Rich Man's Wife,1996
An Unfinished Life,2005
Leprechaun,1993
The Big Brawl,1980
MacGruber,2010
The Quiet Ones,2014
Sharks 3D,2005
Nothing But Trouble,1991
Wise Guys,1986
Legends of Oz: Dorothy’s Return,2014
Les invasions barbares,2003
Tender Mercies,1983
John Carpenter's Ghosts of Mars,2001
Play it to the Bone,1999
The Awakening,1980
Amy,2015
Pushing Tin,1999
Sex Drive,2008
All About Eve,1950
Carbon Copy,1981
Country,1984
Meteor,1979
Pinky,1949
Body Parts,1991
The Importance of Being Earnest,2002
The Last Temptation of Christ,1988
Nineteen Eighty-Four,1984
Turbo: A Power Rangers Movie,1997
Something Wild,1986
Death to Smoochy,2002
Smoke,1995
Return to Paradise,1998
Mitt liv som hund,1987
Tenacious D in: The Pick of Destiny,2006
Twin Dragons,1999
The Man,2005
Mandela: Long Walk to Freedom,2013
The Love Letter,1999
Terror in the Aisles,1984
Johnny English Reborn,2011
Mr. Jones,1993
Larger Than Life,1996
The Cooler,2003
Bébé's Kids,1992
Shadow of the Vampire,2000
Todo sobre mi madre,1999
Satisfaction,1988
Christopher Columbus: The Discovery,1992
The Blob,1988
Tall Tale,1995
The Promise,2017
Black Robe,1991
Gladiator,1992
Dr. Giggles,1992
Hondo,1953
Lucas,1986
McCabe & Mrs. Miller,1971
The Misfits,1961
Cadillac Records,2008
The House on Sorority Row,1983
Bajrangi Bhaijaan,2015
A Simple Wish,1997
Code Name: The Cleaner,2007
Delta Farce,2007
Funny About Love,1990
Key Largo,1948
Firestorm,1998
Days of Wine and Roses,1962
Mad Hot Ballroom,2005
Hoot,2006
The Road,2009
Dirty Pretty Things,2003
Inherent Vice,2014
Before Midnight,2013
A Cure for Wellness,2017
The Philadelphia Experiment,1984
More American Graffiti,1979
Shoot the Moon,1982
Fresh,1994
Bella,2007
Nick of Time,1995
Woo,1998
The Painted Veil,2006
Punisher: War Zone,2008
Connie & Carla,2004
The Adventures of Baron Munchausen,1989
The Ice Storm,1997
Haunted Honeymoon,1986
Dhoom 3,2013
The Texas Chainsaw Massacre 2,1986
Jerusalem,2013
The Boat That Rocked,2009
The Meteor Man,1993
Bingo,1991
Doragon bôru Z: Fukkatsu no 'F',2015
Machete Kills,2013
Robinson Crusoe,2016
"20,000 Leagues Under the Sea",1916
The Agony and the Ecstasy,1965
Annie Get Your Gun,1950
Casey's Shadow,1978
Come to the Stable,1949
The Devil's Brigade,1968
Do Not Disturb,1965
Force: Five,1981
High Noon,1952
Indiscreet,1958
Island in the Sun,1957
Islands in the Stream,1977
King of the Gypsies,1978
Love Me or Leave Me,1955
The Man Who Shot Liberty Valance,1962
Nightbreed,1990
Paradise Alley,1978
Pat Garrett and Billy the Kid,1973
Robin and Marian,1976
Rooster Cogburn,1975
Salsa,1988
Ski Patrol,1990
A Streetcar Named Desire,1951
Sweet Charity,1969
The Taming of the Shrew,1967
Terror Train,1980
The Three Musketeers,1948
The Undefeated,1969
Without a Clue,1988
Where Were You When the Lights Went Out?,1968
My Giant,1998
The Pirate Movie,1982
Dazed and Confused,1993
Runaway Train,1985
Unstrung Heroes,1995
A Thousand Acres,1997
Arbitrage,2012
Strange Days,1995
Miracle at St. Anna,2008
The Alamo,1960
A Beautiful Planet,2016
Blackhat,2015
Teen Wolf Too,1987
The Space Between Us,2017
Cheetah,1989
Serial Mom,1994
City of Ember,2008
Trumbo,2015
The Great White Hype,1996
Aspen Extreme,1993
Fatal Instinct,1993
The Chase,1994
The Night Listener,2006
The Little Drummer Girl,1984
Enemies: A Love Story,1989
Slither,2006
In Bruges,2008
All Night Long,1981
Gentleman's Agreement,1947
House II: The Second Story,1987
Sands of Iwo Jima,1949
Vampire Academy,2014
The Best of Times,1986
If Looks Could Kill,1991
Bad Words,2014
Sirens,1994
Hoop Dreams,1994
I Was a Male War Bride,1949
The Return,2006
Being Julia,2004
Cry-Baby,1990
Deepstar Six,1989
A New Life,1988
Expelled: No Intelligence Allowed,2008
Tupac Resurrection,2003
The Manchurian Candidate,1962
Dolphins and Whales Tribes of the Ocean 3D,2008
The Collector,2009
Loving,2016
Kevin Hart: Laugh at My Pain,2011
Blue Steel,1990
Mr. & Mrs. Bridge,1990
Mortdecai,2015
Elle s'appelait Sarah,2011
Surviving the Game,1994
The Imaginarium of Doctor Parnassus,2009
Strictly Business,1991
Twice in a Lifetime,1985
The Order,2003
Quicksilver,1986
Ninja III: The Domination,1984
To Be and To Have,2003
The Hustler,1961
The Quiet Man,1952
The Spy Who Came in from the Cold,1965
Promised Land,2013
The Amazing Panda Adventure,1995
While We're Young,2015
Doogal,2006
Krippendorf's Tribe,1998
Over Her Dead Body,2008
Losing Isaiah,1995
Cidade de Deus,2003
El Cantante,2007
The Jerky Boys,1995
Sprung,1997
Proof,2005
Damage,1992
Just the Way You Are,1984
Nothing Like the Holidays,2008
Barney's Version,2011
The Martian Child,2007
Agatha,1979
Big Jake,1971
The Cowboys,1972
How to Beat the High Co$t of Living,1980
Night and Day,1946
Walk Don't Run,1966
An Eye for an Eye,1981
The Curse of the Jade Scorpion,2001
The Man Who Wasn't There,2001
Hackers,1995
Foxes,1980
Cyrus,2010
Stealing Home,1988
The Trip to Bountiful,1985
Taking Woodstock,2009
A Good Year,2006
I'll See You in My Dreams,2015
Maximum Overdrive,1986
Kids,1995
"The Cook, The Thief, His Wife, and Her Lover",1990
Midnight Lace,1960
Separate Tables,1958
Blankman,1994
Ironweed,1987
Paranoia,2013
The Five Heartbeats,1991
Bushwhacked,1995
It Runs in the Family,2003
The Squid and the Whale,2005
The Condemned,2007
Witchboard,1986
Wild America,1997
The Crucible,1996
Clean Slate,1994
Clifford,1994
Iceman,1984
Alice,1990
Babies,2010
Bones,2001
American Dreamz,2006
Outside Providence,1999
Mississippi Masala,1992
Sarafina!,1992
Who's That Girl?,1987
Les Triplettes de Belleville,2003
Gigi,1958
How to Marry a Millionaire,1953
Thank God It's Friday,1978
Wild Hearts Can't Be Broken,1991
Eat Drink Man Woman,1994
Phantasm II,1988
She's So Lovely,1997
Lola rennt,1999
Searching for Bobby Fischer,1993
Big Trouble,2002
Friends with Kids,2012
B*A*P*S,1997
Off Limits,1988
Rush,1991
The Missionary,1982
I Know Who Killed Me,2007
Gold,2017
Barcelona,1994
All the King's Men,2006
Mulholland Drive,2001
Disorganized Crime,1989
The Big Red One,1980
The Big Year,2011
Trail of the Pink Panther,1982
Singin' in the Rain,1952
Transylvania 6-5000,1985
Tex,1982
Encounter in the Third Dimension,1999
The Green Inferno,2015
Troop Beverly Hills,1989
Zeus and Roxanne,1997
Mujeres al borde de un ataque de nervios,1988
The Boy Who Could Fly,1986
10 to Midnight,1983
The Hoax,2007
El orfanato,2007
The Name of the Rose,1986
Journey to the South Pacific,2013
Lorenzo's Oil,1992
She's Gotta Have It,1986
I Am Not Your Negro,2017
Hardbodies,1984
Dear God,1996
Silence,2016
Force 10 from Navarone,1978
Where Eagles Dare,1969
1492: Conquest of Paradise,1992
Jodaeiye Nader az Simin,2011
Before the Devil Knows You're Dead,2007
Seeking a Friend for the End of the World,2012
How She Move,2008
The Stunt Man,1980
Phat Girlz,2006
Quills,2000
Pride,2007
BASEketball,1998
The Adventures of Bob & Doug McKenzie: Strange …,1983
Dead Calm,1989
Turistas,2006
Kissing Jessica Stein,2002
Three Wishes,1995
Hiding Out,1987
Harley Davidson and the Marlboro Man,1991
Black Nativity,2013
Star Kid,1998
An American Carol,2008
Crossover,2006
Last of the Dogmen,1995
Bug,2007
Our Brand is Crisis,2015
Alphabet City,1984
Cat People,1982
Eraserhead,1977
Fatso,1980
The Fifth Floor,1978
The Funhouse,1981
Garden of Evil,1954
The Great Santini,1979
I Want To Live!,1958
Marnie,1964
The Prisoner of Zenda,1979
Raise the Titanic,1980
Smokey and the Bandit III,1983
Spellbound,1945
Strangers on a Train,1951
The Sugarland Express,1974
Topkapi,1964
The Trouble With Harry,1955
Buena Vista Social Club,1999
In Darkness,2012
Relentless,1989
Screwed,2000
Grandma,2015
Trial by Jury,1994
Fearless,1993
I Ought to be in Pictures,1982
Class of 1984,1982
Stick,1985
Shag,1989
Children of the Corn II: The Final Sacrifice,1993
Suburban Commando,1991
Blue City,1986
Sexy Beast,2001
Dead Bang,1989
The Wedding Banquet,1993
Take Me Home Tonight,2011
State and Main,2000
Trapped,2002
A Cry in the Dark,1988
House Arrest,1996
Red Sonja,1985
Shut In,2016
Willard,2003
Redline,2007
Death Wish 4: The Crackdown,1987
Woman Thou Art Loosed,2004
The Brothers Grimsby,2016
Cedar Rapids,2011
Running With Scissors,2006
Incendies,2010
Running Scared,2006
The Spectacular Now,2013
200 Cigarettes,1999
Never Talk to Strangers,1995
Panther,1995
Moonlight Mile,2002
Exit to Eden,1994
The Collection,2012
The Chipmunk Adventure,1987
Easter Parade,1948
Hang 'em High,1968
Runaway,1984
The Train,1965
Conviction,2010
In the Valley of Elah,2007
Thunderbirds,2004
Ladies in Lavender,2005
Me and Earl and the Dying Girl,2015
The Forsaken,2001
Caught Up,1998
Young Black Stallion,2003
Seraphin un Homme et Son,2002
Amour,2012
Baahubali: The Beginning,2015
Nine 1/2 Weeks,1986
Reckless,1984
Fortress,1993
Into the Night,1985
American History X,1998
Smoke Signals,1998
Town & Country,2001
Beatriz at Dinner,2017
Roger & Me,1989
Comin' at Ya!,1981
Swing Shift,1984
Till the Clouds Roll By,1947
The Mambo Kings,1992
U-Turn,1997
The Closet,2001
City Island,2010
Hairspray,1988
Nightmares,1983
Mixed Nuts,1994
Six Weeks,1982
Where the Buffalo Roam,1980
Fresh Horses,1988
Black Moon Rising,1986
Almost An Angel,1990
Femme Fatale,2002
The Savages,2007
Johnny Handsome,1989
The Gong Show Movie,1980
The Last Station,2010
The Golden Seal,1983
Bride & Prejudice,2005
Donovan's Reef,1963
It's a Wonderful Life,1946
The Razor's Edge,1984
Yi dai zong shi,2013
Millions,2005
North,1994
Strange Wilderness,2008
Man cheng jin dai huang jin jia,2006
D.A.R.Y.L.,1985
Bajirao Mastani,2015
Lost and Found,1999
I Dreamed of Africa,2000
3 Idiots,2009
Winter's Bone,2010
Maria Full of Grace,2004
The Rules of Attraction,2002
Switchback,1997
High Society,1956
I'll Cry Tomorrow,1955
The Osterman Weekend,1983
Teacher's Pet: The Movie,2004
The Road to Wellville,1994
Little Boy,2015
The Real McCoy,1993
Flashback,1990
Star 80,1983
The Big Bounce,2004
The Young Messiah,2016
The Last Unicorn,1982
Gods and Monsters,1998
Twelve O'Clock High,1949
Warriors of Virtue,1997
Brideshead Revisited,2008
The Hunted,1995
The Temp,1993
Waiting for Superman,2010
The Rocker,2008
Just Between Friends,1986
My Own Private Idaho,1991
Mighty Aphrodite,1995
Eyewitness,1981
El secreto de sus ojos,2010
Cantinflas,2014
Post Grad,2009
Defenseless,1991
The Aristocrats,2005
Hyde Park on Hudson,2012
The Opposite of Sex,1998
It's Kind of a Funny Story,2010
P2,2007
The Sting II,1983
Most Wanted,1997
Motel Hell,1980
Amityville 3-D,1983
Affliction,1998
Joe Kidd,1972
Girls Just Want to Have Fun,1985
Little Miss Marker,1980
Southside with You,2016
The Jacket,2005
The Adventures of Buckaroo Banzai Across the 8t…,1984
Alice's Restaurant,1969
What Planet Are You From?,2000
The Gods Must be Crazy II,1990
Six Degrees of Separation,1993
Article 99,1992
Dick,1999
One Night at McCool's,2001
Rambling Rose,1991
A Night in the Life of Jimmy Reardon,1988
Music Box,1989
All is Lost,2013
Mambo Italiano (US Release),2003
Widow's Peak,1994
Ghost World,2001
The House of the Spirits,1994
Oh Heavenly Dog,1980
Justin Bieber’s Believe,2013
Night and the City,1992
Topsy Turvy,1999
Croupier,2000
Firstborn,1984
Pennies from Heaven,1981
Rabbit-Proof Fence,2002
Ne le dis à personne,2008
The Straight Story,1999
Lowriders,2017
Almost Heroes,1998
Nowhere in Africa,2003
Un long dimanche de fiançailles,2004
UHF,1989
Delta Force 2,1990
Chained Heat,1983
Beyond the Sea,2004
Mystery Date,1991
The Pope of Greenwich Village,1984
Chasing Papi,2003
The Soldier,1982
The Border,1982
Impostor,2002
Coco avant Chanel,2009
Short Cuts,1993
The Interview,2014
Plenty,1985
The Secret of Roan Inish,1995
"Il buono, il brutto, il cattivo",1967
Whose Life is it Anyway?,1981
Sea Rex 3D: Journey to a Prehistoric World,2010
Grandma's Boy,2006
Gigli,2003
Kull The Conqueror,1997
Assassination,1987
Heaven Help Us,1985
Men Don't Leave,1990
The Way of the Gun,2000
Megiddo: Omega Code 2,2001
Meet the Mormons,2014
Best of the Best 2,1993
Deuces Wild,2002
A Fine Mess,1986
Foolish,1999
Trapped in Paradise,1994
The Walking Dead,1995
Hitchcock,2012
American Splendor,2003
"Run, Fatboy, Run",2008
Chasing Mavericks,2012
The Loft,2015
The Sessions,2012
American Pop,1981
Apache,1954
Braddock: Missing in Action III,1988
Captain Horatio Hornblower R.N.,1951
Chisum,1970
Claudine,1974
Dial M for Murder,1954
Dragonslayer,1981
El Dorado,1967
The Fortune Cookie,1966
The Grass is Greener,1960
The Group,1966
Heartbeeps,1981
Hot to Trot,1988
How to Become a Detective,1936
How to Succeed in Business Without Really Trying,1967
"If It's Tuesday, This Must Be Belgium",1969
Mac and Me,1988
Man's Favorite Sport?,1964
Marjorie Morningstar,1958
The Mountain Men,1980
Rebecca,1940
The Seven Year Itch,1955
The Shootist,1975
Simon,1980
Thunder & Lightning,1977
Timerider: The Adventure of Lyle Swann,1982
Topaz,1969
Trick or Treat,1986
The Unholy,1988
Wanted: Dead or Alive,1987
The War Wagon,1967
Woman of the Year,1942
Le Scaphandre et le Papillon,2007
1969,1988
Les Boys II,1998
Central do Brasil,1998
My Little Pony: The Movie,1986
Lars and the Real Girl,2007
Basic Instinct 2,2006
The Last Legion,2007
Inventing the Abbotts,1997
Evil Dead II,1987
Casa de mi Padre,2012
Gang Related,1997
Folks!,1992
Highlander,1986
Cry Freedom,1987
The Boxer,1997
Against the Ropes,2004
Captain Fantastic,2016
Light It Up,1999
Feel the Noise,2007
Last Dance,1996
The Rescue,1988
Real Women Have Curves,2002
The Transformers: The Movie,1986
Palmetto,1998
The Bling Ring,2013
The Hitcher,1986
Pulling Strings,2013
Immediate Family,1989
Heaven & Earth,1993
Crossroads,1986
Night of the Living Dead,1990
The Last American Virgin,1982
Ed Wood,1994
Stanley & Iris,1990
The Perfect Holiday,2007
Day of the Dead,1985
The Station Agent,2003
Rio Bravo,1959
Mona Lisa,1986
Before Sunset,2004
Beginners,2011
Luther,2003
Sheena,1984
Victor Frankenstein,2015
Kolya,1997
Local Hero,1983
The Clearing,2004
The Tie That Binds,1995
Phantoms,1998
Lucky You,2007
The Last Seduction,1994
Flying Monsters 3D,2011
Closed Circuit,2013
A Most Violent Year,2014
One Eight Seven,1997
Orlando,1992
Gallipoli,1981
Spellbound,2003
Barton Fink,1991
Millennium,1989
El crimen de padre Amaro,2002
Wisdom,1987
Surrender,1987
Mary Reilly,1996
Mongol,2008
A Dangerous Method,2011
Screamers,1996
RocknRolla,2008
"Sorry, Wrong Number",1948
Under Fire,1983
Leatherface: Texas Chainsaw Massacre III,1990
Who's Your Caddy?,2007
Get on the Bus,1996
Gold Diggers: The Secret of Bear Mountain,1995
Kundun,1997
Cold Comfort Farm,1996
Eight Men Out,1988
Megaforce,1982
Down in the Delta,1998
Nadine,1987
For Greater Glory,2012
The Warrior's Way,2010
20th Century Women,2016
The Concrete Jungle,1982
Where the Money Is,2000
Beyond Rangoon,1995
The Pallbearer,1996
Something Wicked This Way Comes,1983
Underclassman,2005
Hardware,1990
Never Die Alone,2004
Danny Collins,2015
Swing Kids,1993
Avenging Angel,1985
Batman: Mask of the Phantasm,1993
Tales from the Crypt Presents: Bordello of Blood,1996
The Star Chamber,1983
Streets of Fire,1984
Yellow Sky,1948
Sultan,2016
The Cemetery Club,1993
Iris,2001
Europa Europa,1991
Gridlock'd,1997
Cesar Chavez,2014
Vice Squad,1982
A Night in Heaven,1983
For Your Consideration,2006
Water,2006
Aqua Teen Hunger Force Colon Movie Film for The…,2007
Wind,1992
Say It Isn't So,2001
Heartbreak Hotel,1988
Shine a Light,2008
Slums of Beverly Hills,1998
Der Untergang,2005
A Scanner Darkly,2006
Across the Wide Missouri,1951
Three of Hearts,1993
Rescue Dawn,2007
Die Fälscher,2008
Ride,1998
Little Children,2006
Paris Can Wait,2017
Livin' Large!,1991
Split Second,1992
Luftslottet som sprängdes,2010
Passion Fish,1992
Meatballs II,1984
Monkeybone,2001
The Sicilian,1987
Racing with the Moon,1984
She Wore a Yellow Ribbon,1949
Amores Perros,2001
The Human Stain,2003
A Guy Named Joe,1943
Wolves,1999
The Guard,2011
October Baby,2012
Margin Call,2011
C'era una volta il West,1969
Once Upon a Time in America,1984
Divine Madness!,1980
Pane e tulipani,2001
The Dresser,1983
Won't Back Down,2012
Made,2001
Chennai Express,2013
Whatever Works,2009
Cave of Forgotten Dreams,2011
The Truth About Charlie,2002
Metalstorm: The Destruction of Jared-Syn,1983
Buddy Buddy,1981
The Skeleton Twins,2014
Once Upon a Forest,1993
Before Sunrise,1995
Hear No Evil,1993
Love Letters,1984
Persuasion,1995
Gardens of Stone,1987
My Dinner With Andre,1981
Indochine,1992
Black and White,2000
Siegfried & Roy: Masters of the Impossible,1999
Hollywood Shuffle,1987
The In Crowd,2000
In God We Tru$t,1980
La mala educación,2004
Bandslam,2009
Hunt for the Wilderpeople,2016
Formula 51,2002
Kaze Tachinu,2014
Jane Eyre,1996
The Comedians,1967
Kelly's Heroes,1970
Once Upon a Honeymoon,1942
Tales of Manhattan,1942
The Yearling,1946
Clara's Heart,1988
52 Pick-Up,1986
The Object of Beauty,1991
Alone in the Dark,2005
Dream a Little Dream,1989
Ba wang bie ji,1993
The Hotel New Hampshire,1984
Romantic Comedy,1983
The Company You Keep,2013
The World's Fastest Indian,2005
Grind,2003
Gossip,2000
Dangerous Ground,1997
Of Mice and Men,1992
Biutiful,2011
The Wildest Dream,2010
Dawn of the Dead,1979
Out of Bounds,1986
Sunshine,1999
Vigilante,1983
Miami Rhapsody,1995
Bleed for This,2016
Celebrity,1998
Two Mules for Sister Sara,1970
Exotica,1994
Los tres entierros de Melquiades Estrada,2005
Airheads,1994
American Dreamer,1984
Stop Making Sense,1984
Woman on Top,2000
Nikita,1991
The Wanderers,1979
Alien Adventure,2000
Los abrazos rotos,2009
Moon,2009
Birth,2004
Io sono l’amore,2010
Tempest,1982
Bubble Boy,2001
Club Dread,2004
Kimi no na wa,2017
"The Beast from 20,000 Fathoms",1953
The Boys Next Door,1987
Call Me Mister,1951
Darling Lili,1970
Death Hunt,1981
Destination Moon,1950
"Elvira, Mistress of the Dark",1988
The Exterminator,1980
Hard Times,1975
Hero and the Terror,1988
Monkey Shines,1988
Paradise,1982
Pocketful of Miracles,1961
Second Sight,1989
Seven Brides for Seven Brothers,1954
There's No Business Like Show Business,1954
No Small Affair,1984
Top Dog,1995
Fanny och Alexander,1983
Let it Ride,1989
The Handmaid's Tale,1990
Jakob the Liar,1999
20 Feet From Stardom,2013
The Apparition,2012
Solo,1996
From Justin to Kelly,2003
Birthday Girl,2002
Surf Ninjas,1993
Heaven's Prisoners,1996
The Playboys,1992
Harry & Son,1984
The Lover,1992
The Magdalene Sisters,2003
Rainbow Brite and the Star Stealer,1985
The Seduction,1982
Hamlet 2,2008
Invaders from Mars,1986
Girl 6,1996
Innocent Blood,1992
He Knows You're Alone,1980
Hilary and Jackie,1991
Dilwale,2015
Torch Song Trilogy,1988
Band of the Hand,1986
Galaxina,1980
The Virgin Suicides,2000
"Paris, je t'aime",2007
Rustlers' Rhapsody,1985
Off Beat,1986
Hollywood Ending,2002
Extreme Ops,2002
The Libertine,2005
90 Minutes in Heaven,2015
Slackers,2002
Angus,1995
Mao's Last Dancer,2010
The Honorary Consul,1983
The Hunger,1983
King David,1985
The Lonely Guy,1984
Incarnate,2016
Jack the Bear,1993
See You in the Morning,1989
Little Buddha,1994
Into the West,1993
Igby Goes Down,2002
Just Visiting,2001
In the Name of the King: A Dungeon Siege Tale,2008
Absolutely Fabulous: The Movie,2016
Mansfield Park,1999
The Good Mother,1988
Delirious,1991
Atlas Shrugged: Part 1,2011
The Fall of the Roman Empire,1964
Violets Are Blue...,1986
"Grandview, U.S.A.",1984
A Walk on the Moon,1999
This is Spinal Tap,1984
Duets,2000
Ghost in the Machine,1993
Drugstore Cowboy,1989
The Other Side of Heaven,2001
True Story,2015
In the Cut,2003
Your Friends and Neighbors,1998
Held Up,2000
Hands of Stone,2016
King Kong Lives,1986
Hauru no ugoku shiro,2005
Eve of Destruction,1991
Suffragette,2015
C.H.U.D.,1984
College,2008
Miller's Crossing,1990
True Identity,1991
National Lampoon's Senior Trip,1995
Eddie and the Cruisers,1983
Avenging Force,1986
My Chauffeur,1986
La science des rêves,2006
Evil Under the Sun,1982
The Hitman,1991
Radio Flyer,1992
Let's Go to Prison,2006
Love in the Time of Cholera,2007
Joe's Apartment,1996
Apocalypse Now Redux,2001
January Man,1989
Longtime Companion,1990
Se jie,2007
Les Boys,1997
Eliminators,1986
Thirteen,2003
The Lookout,2007
Anchors Aweigh,1945
River's Edge,1987
Deception,2008
Little Voice,1998
Sunset,1988
Touching the Void,2004
Fire with Fire,1986
Stealing Beauty,1996
Creator,1985
Ong-Bak,2005
Snowpiercer,2014
Graffiti Bridge,1990
Making the Grade,1984
Mumford,1999
Dangerous Beauty,1998
Away From Her,2007
Miss March,2009
Troll,1986
Hope and Glory,1987
Talk to Me,2007
Swingers,1996
Hamlet,1996
Kickin It Old Skool,2007
An American in Paris,1951
Bus Stop,1956
The Great Caruso,1951
Night Crossing,1982
Road to Rio,1947
Suspicion,1941
Winchester '73,1950
Bound by Honor,1993
Diggstown,1992
Coast to Coast,1980
Flawless,1999
Mindhunters,2005
Anonymous,2011
Loose Cannons,1990
Joy of Sex,1984
Crossing Over,2009
Lantana,2001
Passchendaele,2008
Italian for Beginners,2002
Tortilla Soup,2001
Bright Star,2009
The Company Men,2011
Persepolis,2007
Flash of Genius,2008
The Railway Man,2014
Deux jours à Paris,2007
The Way,2011
Black Beauty,1994
Beyond Borders,2003
The Conversation,1974
Don’t Think Twice,2016
"Food, Inc.",2009
The Adventures of Pluto Nash,2002
Run,1991
Inchon,1982
McHale's Navy,1997
Dear White People,2014
The Bravados,1958
For Me and My Gal,1942
A Star is Born,1954
Thrill of a Romance,1945
Willie and Phil,1980
Simply Irresistible,1999
Zwartboek,2007
The Company of Wolves,1985
Forced Vengeance,1982
Pumpkinhead,1988
Dark Angel,1990
Seven Days In Utopia,2011
On the Line,2001
Prem Ratan Dhan Payo,2015
Solitary Man,2010
Wagons East,1994
Spartan,2004
Bogus,1996
Meet the Deedles,1998
The Mean Season,1985
Staying Together,1989
The Tao of Steve,2000
Keeping Up with the Steins,2006
PCU,1994
Much Ado About Nothing,2013
Inside Job,2010
Melvin and Howard,1980
The Sweet Hereafter,1997
Trenchcoat,1983
Four Rooms,1995
Bob Roberts,1992
